sample	pop	perf	assay	run	url	date
ERS185440	FIN	ICMB	HG00311.4.M_120208_6	ERR188121	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188121/ERR188121_1.fastq.gz	120208
ERS185440	FIN	ICMB	HG00311.4.M_120208_6	ERR188121	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188121/ERR188121_2.fastq.gz	120208
ERS185165	FIN	ICMB	HG00319.4.M_120208_7	ERR188300	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188300/ERR188300_1.fastq.gz	120208
ERS185165	FIN	ICMB	HG00319.4.M_120208_7	ERR188300	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188300/ERR188300_2.fastq.gz	120208
ERS185492	FIN	ICMB	HG00339.4.M_120208_1	ERR188321	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188321/ERR188321_1.fastq.gz	120208
ERS185492	FIN	ICMB	HG00339.4.M_120208_1	ERR188321	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188321/ERR188321_2.fastq.gz	120208
ERS185252	FIN	ICMB	HG00344.4.M_120208_2	ERR188473	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188473/ERR188473_1.fastq.gz	120208
ERS185252	FIN	ICMB	HG00344.4.M_120208_2	ERR188473	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188473/ERR188473_2.fastq.gz	120208
ERS185027	FIN	ICMB	HG00349.4.M_120208_4	ERR188075	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188075/ERR188075_1.fastq.gz	120208
ERS185027	FIN	ICMB	HG00349.4.M_120208_4	ERR188075	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188075/ERR188075_2.fastq.gz	120208
ERS185291	FIN	ICMB	HG00366.4.M_120208_1	ERR188150	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188150/ERR188150_1.fastq.gz	120208
ERS185291	FIN	ICMB	HG00366.4.M_120208_1	ERR188150	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188150/ERR188150_2.fastq.gz	120208
ERS185218	FIN	ICMB	HG00372.4.M_120208_3	ERR188078	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188078/ERR188078_1.fastq.gz	120208
ERS185218	FIN	ICMB	HG00372.4.M_120208_3	ERR188078	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188078/ERR188078_2.fastq.gz	120208
ERS185222	FIN	ICMB	HG00375.4.M_120208_4	ERR188462	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188462/ERR188462_1.fastq.gz	120208
